names,surnames,ips,passwords,logins
Ava,BORUCH,192.34824.8.57,O@!n7[dBE,ava_boruch@email.com
Zissy,RONAN,209.15789.173.175,"J}d,",zissy_ronan@email.com
Nyla,JORGE,158.45077.21.161,/~=[1R.VC,nyla_jorge@email.com
Johnny,YARIEL,212.44540.252.90,pas$w0rd,johnny_yariel@email.com
Denzel,SEVYN,135.10228.244.240,Denzel1950,denzel_sevyn@email.com
Sabrina,AUBREE,15.58908.28.77,22101959,sabrina_aubree@email.com
Gary,GUADALUPE,38.8249.57.134,01041978,gary_guadalupe@email.com
Lucien,ANAIS,17.5353.233.77,@^]#7>/'N,lucien_anais@email.com
Emanuel,XAVIER,104.32709.197.118,<[vf%G/(;F,emanuel_xavier@email.com
Diego,ALEENA,104.37604.228.220,03091965,diego_aleena@email.com
Carla,MENACHEM,70.10207.223.2,06121979,carla_menachem@email.com
Ellis,LYRIC,104.26520.152.112,&1YRIC12,ellis_lyric@email.com
Michelle,ABDIEL,23.23300.4.1,123456,michelle_abdiel@email.com
Emanuel,AYLA,38.29277.93.107,12121989,emanuel_ayla@email.com
Milana,SYED,95.25753.153.80,JSYED46,milana_syed@email.com
Ezriel,ALEJANDRA,173.56942.110.171,@dmin,ezriel_alejandra@email.com
Julianna,ASHLY,198.64343.87.13,1234,julianna_ashly@email.com
Chiara,YOCHEVED,154.22548.20.139,Vivian4&ver,chiara_yocheved@email.com
Maxwell,ALPHA,146.4113.17.4,$lL@`,maxwell_alpha@email.com
Tzivia,EMMA,5.27051.171.5,6X4|$,tzivia_emma@email.com
